url,name,bike,brand,model,Trim / Edition,Year of Manufacture,Condition,Engine capacity,Kilometers run,price
https://bikroy.com/en/ad/aprilia-gpr-150-as-like-new-bike-2021-for-sale-dhaka,Aprilia GPR 150 As-Like New Bike 2021,Motorcycle,Aprilia,GPR 150,As-Like New Bike,2021,Used,150 cc,"2,800 km","Tk 197,000"
https://bikroy.com/en/ad/bajaj-aspire-phruk-mottrs-2017-for-sale-dhaka,Bajaj Aspire ফরুক মোটরস 2017,Motorcycle,Bajaj,Aspire,,2017,Used,150 cc,"22,000 km","Tk 122,000"
https://bikroy.com/en/ad/bajaj-ct-100-1-2011-for-sale-mymensingh,Bajaj CT 100 . 2011,Motorcycle,Bajaj,CT 100,.,2011,Used,100 cc,"26,759 km","Tk 65,000"
https://bikroy.com/en/ad/bajaj-discover-100cc-2017-for-sale-chattogram-division-14,Bajaj Discover 100cc 2017,Motorcycle,Bajaj,Discover,100cc,2017,Used,100 cc,"22,500 km","Tk 37,000"
https://bikroy.com/en/ad/bajaj-discover-phruk-mottrs-2015-for-sale-dhaka-1,Bajaj Discover ফরুক মোটরস 2015,Motorcycle,Bajaj,Discover,,2015,Used,100 cc,"33,000 km","Tk 58,000"
https://bikroy.com/en/ad/bajaj-discover-2015-for-sale-dhaka-division-235,Bajaj Discover 2015,Motorcycle,Bajaj,Discover,.,2015,Used,100 cc,"35,000 km","Tk 70,000"
https://bikroy.com/en/ad/bajaj-discover-2017-2011-for-sale-dhaka,Bajaj Discover Black 2011,Motorcycle,Bajaj,Discover,Black,2011,Used,100 cc,"60,100 km","Tk 72,000"
https://bikroy.com/en/ad/bajaj-discover-2017-2011-for-sale-dhaka,Bajaj Discover Black 2011,Motorcycle,Bajaj,Discover,Black,2011,Used,100 cc,"60,100 km","Tk 72,000"
https://bikroy.com/en/ad/bajaj-discover-2017-2011-for-sale-dhaka,Bajaj Discover Black 2011,Motorcycle,Bajaj,Discover,Black,2011,Used,100 cc,"60,100 km","Tk 72,000"
https://bikroy.com/en/ad/bajaj-discover-100-2016-for-sale-khulna-division-8,Bajaj Discover 100 2016,Motorcycle,Bajaj,Discover,100,2016,Used,100 cc,"68,000 km","Tk 110,000"
https://bikroy.com/en/ad/bajaj-discover-110-dsh-bchr-kaagj-kraa-2018-for-sale-dhaka,Bajaj Discover 110 দশ বছর কাগজ করা 2018,Motorcycle,Bajaj,Discover,,2018,Used,110 cc,"36,000 km","Tk 99,000"
https://bikroy.com/en/ad/bajaj-discover-single-dix-one-test-2021-for-sale-khulna,Bajaj Discover single dix one test 2021,Motorcycle,Bajaj,Discover,single dix one test,2021,Used,110 cc,"8,000 km","Tk 95,000"
https://bikroy.com/en/ad/bajaj-discover-peresh-knddishn-2017-for-sale-chattogram,Bajaj Discover পেরেশ কন্ডিশন 2017,Motorcycle,Bajaj,Discover,,2017,Used,125 cc,"13,256 km","Tk 80,000"
https://bikroy.com/en/ad/bajaj-discover-rejissttreshn-phrii-2-2020-for-sale-dhaka-1,Bajaj Discover রেজিষ্ট্রেশন ফ্রী ২ 2020,Motorcycle,Bajaj,Discover,,2020,Used,125 cc,"2,365 km","Tk 124,600"
https://bikroy.com/en/ad/bajaj-discover-sd-2019-for-sale-dhaka-12,Bajaj Discover sd 2019,Motorcycle,Bajaj,Discover,sd 2019,2019,Used,125 cc,"25,000 km","Tk 107,000"
https://bikroy.com/en/ad/bajaj-discover-cc125-2010-for-sale-dhaka,Bajaj Discover cc125 2010,Motorcycle,Bajaj,Discover,cc125,2010,Used,125 cc,"33,000 km","Tk 65,000"
https://bikroy.com/en/ad/bajaj-discover-135-cc-2010-for-sale-khulna-division-2,Bajaj Discover 135 cc 2010,Motorcycle,Bajaj,Discover,135 cc,2010,Used,135 cc,"90,600 km","Tk 110,000"
https://bikroy.com/en/ad/bajaj-freedom-110-ml-2022-for-sale-rangpur-division,Bajaj Freedom 110 ml 2022,Motorcycle,Bajaj,Other Model,Freedom  110 ml,2022,Used,110 cc,60 km,"Tk 25,000"
https://bikroy.com/en/ad/bajaj-platina-black-2019-for-sale-dhaka-5,Bajaj Platina Black 2019,Motorcycle,Bajaj,Platina,Black,2019,Used,100 cc,"18,000 km","Tk 67,000"
https://bikroy.com/en/ad/bajaj-platina-2018-model-2021-reg-for-sale-dhaka,Bajaj Platina 2018 model 2021 reg,Motorcycle,Bajaj,Platina,2018 model 2021 reg,2018,Used,100 cc,"4,900 km","Tk 74,000"
https://bikroy.com/en/ad/bajaj-platina-2021-for-sale-khulna-division-3,Bajaj Platina 2021,Motorcycle,Bajaj,Platina,2021,2021,Used,102 cc,"6,100 km","Tk 88,500"
https://bikroy.com/en/ad/bajaj-pulsar-2018-for-sale-chattogram-285,Bajaj Pulsar . 2018,Motorcycle,Bajaj,Pulsar,.,2018,Used,150 cc,"11,000 km","Tk 110,000"
https://bikroy.com/en/ad/bajaj-pulsar-as-150-2019-for-sale-rajshahi,Bajaj Pulsar AS 150 2019,Motorcycle,Bajaj,Pulsar,AS 150,2019,Used,150 cc,"11,000 km","Tk 190,000"
https://bikroy.com/en/ad/bajaj-pulsar-sd-fresh-2017-for-sale-dhaka-1,Bajaj Pulsar SD FRESH 2017,Motorcycle,Bajaj,Pulsar,SD FRESH ,2017,Used,150 cc,"12,000 km","Tk 123,000"
https://bikroy.com/en/ad/bajaj-pulsar-150-2010-for-sale-khulna-1,Bajaj Pulsar 150 2010,Motorcycle,Bajaj,Pulsar,150,2010,Used,150 cc,"123,000 km","Tk 89,999"
https://bikroy.com/en/ad/bajaj-pulsar-condition-new-dd-2019-for-sale-dhaka,Bajaj Pulsar condition new DD 2019,Motorcycle,Bajaj,Pulsar,condition new DD,2019,Used,150 cc,"16,000 km","Tk 151,000"
https://bikroy.com/en/ad/bajaj-pulsar-pulser-single-dixs-2019-for-sale-dhaka,Bajaj Pulsar Single Dixs 2019,Motorcycle,Bajaj,Pulsar,Single Dixs,2019,Used,150 cc,"18,000 km","Tk 128,000"
https://bikroy.com/en/ad/bajaj-pulsar-dd-2020-2020-for-sale-sylhet,Bajaj Pulsar DD 2020,Motorcycle,Bajaj,Pulsar,Pulsar DD,2020,Used,150 cc,"19,400 km","Tk 148,000"
https://bikroy.com/en/ad/bajaj-pulsar-ug5-sdrejihkre-dib-2020-for-sale-dhaka-1,Bajaj Pulsar UG5 SDরেজিঃকরে দিব 2020,Motorcycle,Bajaj,Pulsar,,2020,Used,150 cc,"3,200 km","Tk 142,500"
https://bikroy.com/en/ad/bajaj-pulsar-2011-for-sale-chattogram-423,Bajaj Pulsar . 2011,Motorcycle,Bajaj,Pulsar,.,2011,Used,150 cc,"31,000 km","Tk 68,000"
https://bikroy.com/en/ad/bajaj-pulsar-phruk-mottrs-2014-for-sale-dhaka,Bajaj Pulsar ফরুক মোটরস 2014,Motorcycle,Bajaj,Pulsar,,2014,Used,150 cc,"32,000 km","Tk 95,000"
https://bikroy.com/en/ad/bajaj-pulsar-2019-for-sale-dhaka-713,Bajaj Pulsar . 2019,Motorcycle,Bajaj,Pulsar,.,2019,Used,150 cc,"4,100 km","Tk 167,500"
https://bikroy.com/en/ad/bajaj-pulsar-2018-for-sale-khulna-division-158,Bajaj Pulsar 2018,Motorcycle,Bajaj,Pulsar,2018,2018,Used,150 cc,"42,000 km","Tk 150,000"
https://bikroy.com/en/ad/bajaj-pulsar-twin-disk-2020-for-sale-rangpur-division,Bajaj Pulsar Twin Disk 2020,Motorcycle,Bajaj,Pulsar,Twin Disk,2020,Used,150 cc,"5,600 km","Tk 165,000"
https://bikroy.com/en/ad/bajaj-pulsar-2010-for-sale-sylhet-644,Bajaj Pulsar 150 2010,Motorcycle,Bajaj,Pulsar,150,2010,Used,150 cc,"50,000 km","Tk 90,000"
https://bikroy.com/en/ad/bajaj-pulsar-2021-for-sale-dhaka-228,Bajaj Pulsar 2021,Motorcycle,Bajaj,Pulsar,Pulsar ,2021,Used,150 cc,"6,000 km","Tk 135,000"
https://bikroy.com/en/ad/bajaj-pulsar-2019-for-sale-dhaka-706,Bajaj Pulsar 2019,Motorcycle,Bajaj,Pulsar,.,2019,Used,150 cc,"8,000 km","Tk 145,000"
https://bikroy.com/en/ad/bajaj-pulsar-ns-fi-abs-dd-2021-for-sale-dhaka,Bajaj Pulsar NS Fi ABS DD 2021,Motorcycle,Bajaj,Pulsar,NS Fi ABS DD,2021,Used,160 cc,"17,000 km","Tk 174,000"
https://bikroy.com/en/ad/bajaj-pulsar-dd-2018-for-sale-dhaka-168,Bajaj Pulsar DD 2018,Motorcycle,Bajaj,Pulsar,DD,2018,Used,160 cc,"18,000 km","Tk 133,000"
https://bikroy.com/en/ad/beetle-bolt-bobcat-3ddds-2018-for-sale-dhaka,Beetle Bolt Bobcat 3Ddds 2018,Motorcycle,Beetle Bolt,Bobcat,3Ddds,2018,Used,165 cc,"22,000 km","Tk 70,000"
https://bikroy.com/en/ad/dayang-runner-dy100-daayyaan-2015-for-sale-mymensingh-division,Dayang bike 2015,Motorcycle,Dayang,Other Model,bike,2015,Used,100 cc,60 km,"Tk 32,000"
https://bikroy.com/en/ad/dayun-1-2022-for-sale-rajshahi-division,Dayun . 2022,Motorcycle,Dayun,Other Model,.,2022,Used,125 cc,"5,000 km","Tk 80,000"
https://bikroy.com/en/ad/freedom-runner-freebom-royal-es-2007-for-sale-dhaka-division,Freedom Runner ROYAL ES 2007,Motorcycle,Freedom Runner,Other Model,ROYAL ES,2007,Used,125 cc,"3,390 km","Tk 25,000"
https://bikroy.com/en/ad/h-power-zaara-110-2020-for-sale-dhaka-22,H Power Zaara 110 . 2020,Motorcycle,H Power,Zaara 110,.,2020,Used,110 cc,"22,000 km","Tk 55,000"
https://bikroy.com/en/ad/hero-cbz-xtrem-dd-2012-for-sale-dhaka-13,Hero CBZ Xtrem Dd 2012,Motorcycle,Hero,CBZ Xtrem,Dd,2012,Used,150 cc,"22,000 km","Tk 66,000"
https://bikroy.com/en/ad/hero-cbz-xtrem-dds-2012-for-sale-dhaka-2,Hero CBZ Xtrem DDS 2012,Motorcycle,Hero,CBZ Xtrem,DDS,2012,Used,150 cc,"22,000 km","Tk 72,000"
https://bikroy.com/en/ad/hero-glamour-phruk-mottrs-2018-for-sale-dhaka-2,Hero Glamour ফরুক মোটরস 2018,Motorcycle,Hero,Glamour,,2018,Used,125 cc,"10,000 km","Tk 72,000"
https://bikroy.com/en/ad/hero-glamour-phruk-mottrs-2018-for-sale-dhaka-4,Hero Glamour ফরুক মোটরস 2018,Motorcycle,Hero,Glamour,,2018,Used,125 cc,"18,000 km","Tk 73,000"
https://bikroy.com/en/ad/hero-glamour-2021-for-sale-rangpur-division-5,Hero Glamour Fresh 2021,Motorcycle,Hero,Glamour,Fresh,2021,Used,125 cc,"2,000 km","Tk 108,000"
https://bikroy.com/en/ad/hero-glamour-phruk-mottrs-2018-for-sale-dhaka-1,Hero Glamour ফরুক মোটরস 2018,Motorcycle,Hero,Glamour,,2018,Used,125 cc,"22,000 km","Tk 71,000"
https://bikroy.com/en/ad/hero-glamour-ddisk-blaak-and-blu-2016-for-sale-dhaka-1,Hero Glamour ডিস্ক ব্লাক&ব্লু 2016,Motorcycle,Hero,Glamour,,2016,Used,125 cc,"26,800 km","Tk 78,000"
https://bikroy.com/en/ad/hero-glamour-2018-for-sale-dhaka-487,Hero Glamour 2018,Motorcycle,Hero,Glamour,2018,2018,Used,125 cc,"30,000 km","Tk 74,000"
https://bikroy.com/en/ad/hero-glamour-2bchrer-kaagj-2017-for-sale-sylhet-5,"Hero Glamour ২,বছরের কাগজ 2017",Motorcycle,Hero,Glamour,,2017,Used,125 cc,"32,000 km","Tk 88,000"
https://bikroy.com/en/ad/hero-hf-deluxe-selph-sttaatt-2019-for-sale-dhaka,Hero HF Deluxe সেল্ফ স্টাট 2019,Motorcycle,Hero,HF Deluxe,,2019,Used,100 cc,"11,280 km","Tk 68,000"
https://bikroy.com/en/ad/hero-hunk-2019-for-sale-barishal-21,Hero Hunk 2019,Motorcycle,Hero,Hunk,2019,2019,Used,150 cc,"17,000 km","Tk 120,000"
https://bikroy.com/en/ad/hero-hunk-dd-matt-red-black-2020-for-sale-barishal,Hero Hunk DD Matt red black 2020,Motorcycle,Hero,Hunk,DD Matt red black,2020,Used,150 cc,"2,060 km","Tk 147,000"
https://bikroy.com/en/ad/hero-hunk-2018-for-sale-dhaka-1382,Hero Hunk 2018,Motorcycle,Hero,Hunk,Hero hunk,2018,Used,150 cc,"20,000 km","Tk 95,000"
https://bikroy.com/en/ad/hero-hunk-double-disk-2017-for-sale-dhaka-division-1,Hero Hunk Double disk 2017,Motorcycle,Hero,Hunk,Double disk,2017,Used,150 cc,"22,000 km","Tk 88,000"
https://bikroy.com/en/ad/hero-hunk-new-model-mat-blue-2020-for-sale-khulna,Hero Hunk . 2020,Motorcycle,Hero,Hunk,.,2020,Used,150 cc,"27,000 km","Tk 110,000"
https://bikroy.com/en/ad/hero-hunk-double-disk-2019-for-sale-dhaka-38,Hero Hunk . 2019,Motorcycle,Hero,Hunk,.,2019,Used,150 cc,"35,000 km","Tk 120,000"
https://bikroy.com/en/ad/hero-2020-for-sale-khulna-17,Hero 100 2020,Motorcycle,Hero,Other Model,100,2020,Used,100 cc,"17,000 km","Tk 70,000"
https://bikroy.com/en/ad/hero-2021-for-sale-chattogram-7,Hero Thriller 2021,Motorcycle,Hero,Other Model,Thriller,2021,Used,160 cc,"7,800 km","Tk 169,000"
https://bikroy.com/en/ad/hero-passion-honda-digital-smart-2005-for-sale-dhaka,Hero Passion digital smart 2005,Motorcycle,Hero,Passion,digital smart,2005,Used,100 cc,"40,000 km","Tk 38,000"
https://bikroy.com/en/ad/hero-passion-pro-phruk-mottrs-2012-for-sale-dhaka,Hero Passion Pro ফরুক মোটরস 2012,Scooters,Hero,Passion Pro,,2012,Used,100 cc,"22,000 km","Tk 65,000"
https://bikroy.com/en/ad/hero-pleasure-2013-for-sale-rajshahi,Hero Pleasure 2013,Scooters,Hero,Pleasure,2013,2013,Used,100 cc,"32,000 km","Tk 79,500"
https://bikroy.com/en/ad/hero-pleasure-2013-for-sale-rajshahi,Hero Pleasure 2013,Scooters,Hero,Pleasure,2013,2013,Used,100 cc,"32,000 km","Tk 79,500"
https://bikroy.com/en/ad/hero-pleasure-2013-for-sale-rajshahi,Hero Pleasure 2013,Scooters,Hero,Pleasure,2013,2013,Used,100 cc,"32,000 km","Tk 79,500"
https://bikroy.com/en/ad/hero-splendor-nxg-2013-for-sale-sylhet,Hero Splendor NXG 2013,Motorcycle,Hero,Splendor,NXG,2013,Used,100 cc,0 km,"Tk 65,000"
https://bikroy.com/en/ad/honda-cbr-abs-dual-disk-2020-for-sale-dhaka,Honda CBR ABS DUAL DISK 2020,Motorcycle,Honda,CBR,ABS DUAL DISK,2020,Used,150 cc,"11,000 km","Tk 365,000"
https://bikroy.com/en/ad/honda-cbr-2019-for-sale-dhaka-103,Honda CBR 2019,Motorcycle,Honda,CBR,2019,2019,Used,150 cc,"6,000 km","Tk 375,000"
https://bikroy.com/en/ad/honda-cd-1997-for-sale-dhaka-9,Honda CD 1997,Motorcycle,Honda,CD,.,1997,Used,80 cc,"40,000 km","Tk 49,000"
https://bikroy.com/en/ad/honda-cd-cash-deposit80cc-2022-for-sale-barishal-division,Honda CD 80cc 2022,Motorcycle,Honda,CD,80cc,2022,Used,80 cc,"65,000 km","Tk 45,000"
https://bikroy.com/en/ad/honda-cd-80-2022-for-sale-chattogram-2,Honda CD 80 2000,Motorcycle,Honda,CD,80,2000,Used,80 cc,"755,719 km","Tk 35,000"
https://bikroy.com/en/ad/honda-cg125-cg-125-pakistani-2006-for-sale-dhaka,Honda CG125 Pakistani 2006,Motorcycle,Honda,CG125,Pakistani,2006,Used,125 cc,40 km,"Tk 69,990"
https://bikroy.com/en/ad/honda-cg125-2007-for-sale-dhaka-109,Honda CG125 2007,Motorcycle,Honda,CG125,.,2007,Used,125 cc,"45,000 km","Tk 40,000"
https://bikroy.com/en/ad/honda-hornet-dd-cbs-2019-for-sale-dhaka-63,Honda Hornet DD CBS 2019,Motorcycle,Honda,Hornet,DD CBS,2019,Used,160 cc,"16,000 km","Tk 150,000"
https://bikroy.com/en/ad/honda-hornet-2018-for-sale-dhaka-953,Honda Hornet 2018,Motorcycle,Honda,Hornet,2018,2018,Used,160 cc,"25,000 km","Tk 134,000"
https://bikroy.com/en/ad/honda-hornet-double-dick-2020-for-sale-chattogram,Honda Hornet Double Dick 2020,Motorcycle,Honda,Hornet,Double Dick ,2020,Used,160 cc,"7,300 km","Tk 160,000"
https://bikroy.com/en/ad/honda-hornet-2018-for-sale-khulna-66,Honda Hornet 2018,Motorcycle,Honda,Hornet,.,2018,Used,163 cc,"55,000 km","Tk 149,000"
https://bikroy.com/en/ad/honda-livo-2021-2022-for-sale-chattogram,Honda Livo 2021 2022,Motorcycle,Honda,Livo,2021,2022,Used,110 cc,"15,000 km","Tk 94,000"
https://bikroy.com/en/ad/honda-livo-black-2018-for-sale-dhaka-34,Honda Livo black 2018,Motorcycle,Honda,Livo,black,2018,Used,110 cc,"16,000 km","Tk 84,000"
https://bikroy.com/en/ad/honda-livo-ddisk-brek-blaak-2018-for-sale-dhaka-3,Honda Livo ডিস্ক ব্রেক ব্লাক 2018,Motorcycle,Honda,Livo,,2018,Used,110 cc,"16,100 km","Tk 82,500"
https://bikroy.com/en/ad/honda-livo-2018-for-sale-dhaka-597,Honda Livo 2018,Motorcycle,Honda,Livo,2018,2018,Used,110 cc,"26,000 km","Tk 83,000"
https://bikroy.com/en/ad/honda-livo-almost-new-bike-2019-for-sale-dhaka,Honda Livo ALMOST NEW BIKE 2019,Motorcycle,Honda,Livo,ALMOST NEW BIKE,2019,Used,110 cc,"4,000 km","Tk 98,000"
https://bikroy.com/en/ad/honda-cb-x-motion-2021-for-sale-khulna,Honda CB X-Motion 2021,Motorcycle,Honda,Other Model,CB X-Motion,2021,New,150 cc,12 km,"Tk 450,000"
https://bikroy.com/en/ad/honda-shine-2019-for-sale-dhaka-55,Honda Shine 2019,Motorcycle,Honda,Shine,.,2019,Used,125 cc,"6,000 km","Tk 115,000"
https://bikroy.com/en/ad/honda-unicorn-phruk-mottrs-2017-for-sale-dhaka-4,Honda Unicorn ফরুক মোটরস 2017,Motorcycle,Honda,Unicorn,,2017,Used,155 cc,"20,000 km","Tk 55,000"
https://bikroy.com/en/ad/honda-x-blade-2020-for-sale-dhaka-division-19,Honda X Blade . 2020,Motorcycle,Honda,X Blade,.,2020,Used,162 cc,"10,500 km","Tk 145,000"
https://bikroy.com/en/ad/jamuna-pegaasaas-2015-for-sale-dhaka,Jamuna পেগাসাস 2015,Motorcycle,Jamuna,Other Model,,2015,Used,125 cc,"22,000 km","Tk 55,000"
